AKT1,ENSG00000142208
AXL,ENSG00000167601
BRAF,ENSG00000157764
BRCA1,ENSG00000012048
BRCA2,ENSG00000139618
CCND1,ENSG00000110092
CCND2,ENSG00000118971
CCND3,ENSG00000112576
CDK4,ENSG00000135446
CDK6,ENSG00000105810
CDKN2A,ENSG00000147889
EGFR,ENSG00000146648
EGF,ENSG00000138798 
FAP,ENSG00000078098
FGF2,ENSG00000138685
FGFR1,ENSG00000077782
FGFR2,ENSG00000066468
FGFR3,ENSG00000068078
GNA11,ENSG00000088256
GNAQ,ENSG00000156052
HGF,ENSG00000019991
KITLG,ENSG00000049130
KIT,ENSG00000157404
MAP2K1,ENSG00000169032
MAPK1,ENSG00000100030
MET,ENSG00000105976
MLANA,ENSG00000120215
MTOR,ENSG00000198793
NF1,ENSG00000196712
NRAS,ENSG0000021328
PDGFRA,ENSG00000134853
PIK3CA,ENSG00000121879
PRKCA,ENSG00000154229
PRKCD,ENSG00000163932
PTEN,ENSG00000171862
S100B,ENSG00000160307
SILV,ENSG00000185664
SOX10,ENSG00000100146
SOX9,ENSG00000125398
SRC,ENSG00000197122
TYRP1,ENSG00000107165
